category,course
Education,BEd Foundation Phase
Education,BEd Intermediate Phase
Education,BEd Senior Phase
Education,BEd Further Education and Training
Education,Postgraduate Certificate in Education (PGCE)
Education,Bachelor of Education (Honours)
Education,MEd Educational Leadership
Education,PhD Education
Business,BCom Accounting
Business,BCom Business Management
Business,BCom Economics
Business,BCom Finance
Business,BCom Investment Management
Business,Bachelor of Business Administration (BBA)
Business,BCom Human Resources Management
Business,BCom Marketing Management
Business,BCom Supply Chain Management
Business,BCom Entrepreneurship
Business,BCom International Business
Business,BCom Financial Planning
Business,BCom Taxation
Business,BCom Internal Auditing
IT & Computing,BSc Computer Science
IT & Computing,BSc Information Technology
IT & Computing,BSc Data Science
IT & Computing,BSc Artificial Intelligence
IT & Computing,BSc Software Engineering
IT & Computing,BSc Cyber Security
IT & Computing,BSc Computer Engineering
IT & Computing,Diploma in IT
IT & Computing,Diploma in Software Development
IT & Computing,Diploma in Network Management
IT & Computing,Diploma in Information Systems
Health & Sciences,MBChB (Medicine)
Health & Sciences,Bachelor of Nursing
Health & Sciences,Bachelor of Pharmacy
Health & Sciences,BSc Physiotherapy
Health & Sciences,BSc Occupational Therapy
Health & Sciences,BSc Dietetics
Health & Sciences,BSc Biomedical Sciences
Health & Sciences,BSc Biotechnology
Health & Sciences,BSc Genetics
Health & Sciences,BSc Microbiology
Health & Sciences,BSc Chemistry
Health & Sciences,BSc Physics
Health & Sciences,BSc Mathematics
Health & Sciences,BSc Statistics
Health & Sciences,BSc Environmental Science
Health & Sciences,BSc Geology
Health & Sciences,BSc Agriculture
Health & Sciences,BVSc (Veterinary Science)
Health & Sciences,Bachelor of Dental Surgery (BDS)
Engineering,BEng Civil Engineering
Engineering,BEng Electrical Engineering
Engineering,BEng Mechanical Engineering
Engineering,BEng Chemical Engineering
Engineering,BEng Industrial Engineering
Engineering,BEng Mechatronics Engineering
Engineering,BEng Aeronautical Engineering
Engineering,BEng Mining Engineering
Engineering,BEng Metallurgical Engineering
Engineering,BEng Computer Engineering
Engineering,BEng Environmental Engineering
Engineering,National Diploma: Engineering
Humanities,BA Psychology
Humanities,BA Social Work
Humanities,BA Sociology
Humanities,BA Anthropology
Humanities,BA Political Science
Humanities,BA International Relations
Humanities,BA Development Studies
Humanities,BA Public Management
Humanities,BA Criminology
Humanities,BA Languages
Humanities,BA History
Humanities,BA Philosophy
Humanities,LLB (Law)
Humanities,BA Media Studies
Humanities,BA Journalism
Humanities,BA Communication Science
Humanities,BA Tourism Management
Humanities,BA Heritage Studies
Humanities,Bachelor of Library and Information Science
Art & Design,Bachelor of Fine Arts
Art & Design,Bachelor of Fashion Design
Art & Design,Bachelor of Graphic Design
Art & Design,Bachelor of Architecture
Art & Design,Bachelor of Interior Design
Art & Design,Bachelor of Industrial Design
Art & Design,Bachelor of Drama
Art & Design,Bachelor of Music
Art & Design,Bachelor of Film and Television
Art & Design,Bachelor of Photography
Art & Design,Bachelor of Dance
Built Environment,BSc Quantity Surveying
Built Environment,BSc Construction Management
Built Environment,BSc Urban and Regional Planning
Built Environment,BSc Real Estate
Built Environment,BSc Town and Regional Planning
Agriculture,BSc Agriculture
Agriculture,BSc Agricultural Economics
Agriculture,BSc Animal Science
Agriculture,BSc Plant Pathology
Agriculture,BSc Food Science
Agriculture,BSc Viticulture and Oenology
Theology,Bachelor of Theology
Theology,Bachelor of Religion
Theology,Bachelor of Biblical Studies
Aviation,Bachelor of Aviation
Aviation,BCom Logistics
Maritime,Bachelor of Maritime Studies
Hospitality,BCom Hospitality Management
Hospitality,Bachelor of Culinary Arts
Education,Master of Education (MEd)
Business,Master of Business Administration (MBA)
Business,Master of Commerce (MCom)
Health & Sciences,Master of Science (MSc)
Engineering,Master of Engineering (MEng)
