NatEmis	Datayear	Province	ProvinceCD	Official_Institution_Name	Status	Sector	Type_DoE	Phase_PED	Specialisation	Full Service School	EIDistrict	EICircuit	Owner_Land	Owner_Buildings	ExDept	Persal_PaypointNo	Persal_ComponentNo	ExamNo	ExamCentre	GIS_Longitude	GIS_Latitude	DMunName	LMunName	Ward_ID	SP_Code	SP_Name	Addressee	Township_Village	Suburb	Town_City	StreetAddress	PostalAddress	Telephone	Section21	Section21_Function	Quintile	NAS	NodalArea	Registration_Date	NoFeeSchool	Urban_Rural	Allocation	DemarcationFrom	DemarcationTo	OldNATEMIS	NewNATEMIS	Learners2024	Educators2024
200100005	2024	EC	2	ABERDEEN SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	SARAH BAARTMAN	99	GOVERNMENT	PUBLIC	HOUSE OF REPRESENTATIVES(HOR)	84102	84102	4351001	ABERDEEN SENIOR SECONDARY SCHOOL - 4351001	-32.47385	24.06183	Cacadu District Municipality	Dr Beyers Naude Local Municipality	99	20101000	NONE	WEBB T	99	99	ABERDEEN	10 Parliament Street,Aberdeen,6270	P.O. BOX 10 PARLIAMENT STREET, ABERDEEN, 6270,	UNKNOWN	Yes	99	Q3	99	99	1/1/1920	No Fee	Urban	99	EC	EC	200100005	200100005	501	20
200100012	2024	EC	2	ADELAIDE GYMNASIUM	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	TECHNICAL	No	AMATHOLE WEST	99	GOVERNMENT	PUBLIC	CAPE EDUCATION DEPARTMENT(CED)	74101	74101	4311002	ADELAIDE GYMNASIUM - 4311002	-32.71036	26.29476	Amathole District Municipality	Raymond Mhlaba Local Municipality	99	21701000	NONE	GESWENDT PV	99	LINGELETHU	ADELAIDE	Welsh Street,Adelaide,Adelaide,5760	PRIVATE BAG X311, ADELAIDE, 5760	0469400290	Yes	99	Q3	99	99	1/1/1979	Fee Charging	Urban	99	EC	EC	200100012	200100012	634	24
200100018	2024	EC	2	AEROVILLE SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	SARAH BAARTMAN	99	GOVERNMENT	PUBLIC	HOUSE OF REPRESENTATIVES(HOR)	84104	84104	4351002	AEROVILLE SENIOR SECONDARY SCHOOL - 4351002	-32.74592	25.60073	Cacadu District Municipality	Blue Crane Route Local Municipality	99	20207000	NONE	SNYERS JM	99	AEROVILLE	SOMERSET EAST	Perseverance Road,Aeroville,Somerset East,5850	P O BOX 336, SOMERSET EAST, 5850	0719613563	Yes	99	Q3	99	99	1/1/1989	No Fee	Urban	99	EC	EC	200100018	200100018	1025	34
200100019	2024	EC	2	AL-AZHAR PRIMARY SCHOOL	OPEN	INDEPENDENT	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	No	NELSON MANDELA	99	PRIVATE	PRIVATE	UNKNOWN			4342098	AL AZHAR INSTITUTE - 4342098	-33.91924	25.53563	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	27516049	Malabar	GUL E	99	MALABAR	GQEBERHA	42 CNR RUDOLPH & SALIEHOUT AVENUE,MALABAR,GQEBERHA,6020	P O BOX 21043, PORT ELIZABETH, 6000	0414571504	No	NONE	N/A	99	99		Fee Charging	Urban	99	EC	EC	200100019	200100019	439	45
200100021	2024	EC	2	ALEXANDER ROAD HIGH SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	NELSON MANDELA	99	GOVERNMENT	PUBLIC	CAPE EDUCATION DEPARTMENT(CED)	184106	184106	4341002	ALEXANDER ROAD HIGH  SCHOOL - 4341002	-33.94147	25.57181	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	27516060	Newton Park	RIDGWAY MJ	99	NEWTON PARK	GQEBERHA	ALEXANDER ROAD,NEWTON PARK,GQEBERHA,6045	P O BOX 34377, PORT ELIZABETH, 6055	0413651270	Yes	99	Q5	99	99	1/1/1955	Fee Charging	Urban	99	EC	EC	200100021	200100021	1247	80
200100024	2024	EC	2	ALEXANDRIA HIGH SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	COMBINED SCHOOL	ORDINARY	No	SARAH BAARTMAN	99	GOVERNMENT	PUBLIC	CAPE EDUCATION DEPARTMENT(CED)	94101	94101	4351003	ALEXANDRIA  HIGH SCHOOL - 4351003	-33.65411	26.40867	Cacadu District Municipality	Ndlambe Local Municipality	99	20501000	NONE	RAJKARAN MISS	99	99	ALEXANDRIA	Cnr Krog & Voortrekker Street ,Cbd,Alexandria,6185	P.O BOX 43, ALEXANDRIA, ALEXANDRIA, 6185	0466530126	no	NONE	Q3	99	99	1/1/1960	No Fee	Urban	99	EC	EC	200100024	200100024	614	22
200100030	2024	EC	2	SIPHO CAMAGU HIGH SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	AMATHOLE WEST	99	GOVERNMENT	PUBLIC	DEPARTMENT OF EDUCATION AND TRAINING(DET)	74110	74110	4311005	SIPHO CAMAGU HIGH SCHOOL - 4311005	-32.69011	26.30972	Amathole District Municipality	Raymond Mhlaba Local Municipality	99	21703000	NONE	MONESE N	99	LINGELETHU	ADELAIDE	584 Bonani Street,Lingelethu,Adelaide,5760	P O BOX 30, ADELAIDE, 5760	0466849111	Yes	99	Q3	99	99	1/1/1994	No Fee	Urban	99	EC	EC	200100030	200100030	707	22
200100033	2024	EC	2	ANDREW RABIE HIGH SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	NELSON MANDELA	99	GOVERNMENT	PUBLIC	CAPE EDUCATION DEPARTMENT(CED)	184110	184110	4341028	HOERSKOOL ANDREW RABIE - 4341028	-33.94302	25.58175	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	27516001	Adcockvale	DE VOS H	99	ADCOCKVALE	GQEBERHA	ARAGONWEG,ADCOCKVALE,GQEBERHA,6001	P.O. BOX 27926, GREENACRES, PORT ELIZABETH, 6057,	0413745604	Yes	99	Q4	99	99	1/1/1953	Fee Charging	Urban	99	EC	EC	200100033	200100033	690	30
200100037	2024	EC	2	ARCADIA SENIOR SECONDARY SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	NELSON MANDELA	99	GOVERNMENT	PUBLIC	HOUSE OF REPRESENTATIVES(HOR)	184112	184112	4341003	ARCADIA SENIOR SECONDARY SCHOOL - 4341003	-33.87807	25.52062	Nelson Mandela Bay	Nelson Mandela Bay Metropolitan Municipality	99	27502013	West End	CLOETE J	99	ARCADIA	GQEBERHA	271 RENSBURG STREET,ARCADIA,GQEBERHA,6059	P O BOX 17027, SALTRIVER, 6059	0414820229	Yes	99	Q3	99	99	1/1/1974	No Fee	Urban	99	EC	EC	200100037	200100037	1048	28
200100041	2024	EC	2	ASHERVILLE PUBLIC SCHOOL	OPEN	PUBLIC	ORDINARY SCHOOL	SECONDARY SCHOOL	ORDINARY	No	SARAH BAARTMAN	99	GOVERNMENT	PUBLIC	HOUSE OF REPRESENTATIVES(HOR)	84106	84106	4351004	ASHERVILLE SENIOR SECONDARY SCHOOL - 4351004	-32.28173	24.55885	Cacadu District Municipality	Dr Beyers Naude Local Municipality	99	20103002	Kroonvale	GROOTBOOM JP	99	99	GRAAFF-REINET	Affodil Street,Asherville,Graaff-Reinet,6280	POSBUS 303 KROONVALE, GRAAFF-REINET, 6281	0498930037	Yes	99	Q3	99	99	1/1/1982	No Fee	Urban	99	EC	EC	200100041	200100041	766	20
