"course_name","specialization_name","field","career_paths"
"BEd Foundation Phase","Literacy and Language Development","Education","Foundation Phase Teacher, Literacy Specialist"
"BEd Foundation Phase","Numeracy and Mathematics","Education","Foundation Phase Teacher, Mathematics Specialist"
"BEd Foundation Phase","Early Childhood Development","Education","ECD Practitioner, Preschool Teacher"
"BEd Foundation Phase","Life Skills Foundation","Education","Foundation Phase Teacher, Life Skills Coordinator"
"BEd Intermediate Phase","Mathematics Education","Education","Intermediate Phase Mathematics Teacher"
"BEd Intermediate Phase","Natural Sciences and Technology","Education","Intermediate Phase Science Teacher"
"BEd Intermediate Phase","Language Education","Education","Intermediate Phase Language Teacher"
"BEd Intermediate Phase","Social Sciences Education","Education","Intermediate Phase Social Sciences Teacher"
"BEd Senior Phase","Mathematics Education","Education","Senior Phase Mathematics Teacher"
"BEd Senior Phase","Natural Sciences Education","Education","Senior Phase Science Teacher"
"BEd Senior Phase","Technology Education","Education","Senior Phase Technology Teacher"
"BEd Senior Phase","Social Sciences Education","Education","Senior Phase Social Sciences Teacher"
"BEd Further Education and Training","Mathematics FET","Education","FET Mathematics Teacher"
"BEd Further Education and Training","Physical Sciences FET","Education","FET Physical Sciences Teacher"
"BEd Further Education and Training","Life Sciences FET","Education","FET Life Sciences Teacher"
"BEd Further Education and Training","Accounting FET","Education","FET Accounting Teacher"
"BCom Accounting","Chartered Accountancy","Finance","Chartered Accountant, Auditor"
"BCom Accounting","Management Accounting","Finance","Management Accountant, Cost Accountant"
"BCom Accounting","Financial Accounting","Finance","Financial Accountant, Financial Manager"
"BCom Accounting","Auditing","Finance","Internal Auditor, External Auditor"
"BCom Business Management","General Management","Business","Business Manager, Operations Manager"
"BCom Business Management","Entrepreneurship","Business","Entrepreneur, Business Owner"
"BCom Business Management","Operations Management","Business","Operations Manager, Supply Chain Manager"
"BCom Economics","Econometrics","Economics","Econometrician, Data Analyst"
"BCom Economics","Development Economics","Economics","Development Economist, Policy Analyst"
"BCom Economics","International Economics","Economics","International Trade Specialist"
"BCom Finance","Corporate Finance","Finance","Financial Analyst, Corporate Banker"
