name,type,code
University of Cape Town,public,UCT
University of the Witwatersrand,public,WITS
University of Pretoria,public,UP
North-West University,public,NWU
University of Johannesburg,public,UJ
University of KwaZulu-Natal,public,UKZN
University of the Free State,public,UFS
University of Limpopo,public,UL
Sefako Makgatho Health Sciences University,public,SMU
Nelson Mandela University,public,NMU
Rhodes University,public,RU
University of Zululand,public,UNIZULU
University of Venda,public,UNIVEN
Walter Sisulu University,public,WSU
Cape Peninsula University of Technology,public,CPUT
Tshwane University of Technology,public,TUT
Durban University of Technology,public,DUT
Vaal University of Technology,public,VUT
Mangosuthu University of Technology,public,MUT
Sol Plaatje University,public,SPU
University of Mpumalanga,public,UMP
Varsity College,private,VARSCOL
Rosebank College,private,ROSE
STADIO,private,STADIO
Pearson Institute,private,PEARSON
Boston City Campus,private,BOSTON
Damelin,private,DAMELIN
Eduvos,private,EDUVOS
Mancosa,private,MANCOSA
Milpark,private,MILPARK
IMM Graduate School,private,IMM
Regenesys Business School,private,REGENESYS
